regione,rsa,rai,rih,rir,rhr,rhd,r0_max,r0_min,k,startLockdown
P.A. Trento,1.49,1.2,0.25,0.019,0.7347218813095732,0.2,3.8,2.3,2.0,31.673
P.A. Trento,1.49,1.2,0.25,0.019,0.7346883030413026,0.2,3.8,2.3,2.0,31.673000000000002
P.A. Trento,1.49,1.2,0.25,0.019,0.7353387448047813,0.2,3.8,2.3,2.0,31.673
P.A. Trento,1.49,1.2,0.25,0.019,0.7346962190446717,0.2,3.8,2.3,2.0,31.673000000000002
2.0,0.17572400441736288,0.014668849600438391,0.13255378574770074,0.1940404837432804,5.0,0.3,0.1758146770867344,30.06454602473267,,
0.2659788908754179,1.9587640901849064,0.023718193674804072,0.2364937503932145,0.27599469664811976,4.696138162159183,1.2199966581147348,0.29529844390875515,40.08924067874621,,
0.2705110356887003,1.3650035333139148,0.8870003088624537,0.18003244123103726,0.2353878407505912,2.6412255364427137,0.5675216710047655,0.4950703757746016,0.0,,
2.0,0.17572371975213505,0.014668800998719072,0.13255464963620225,0.19404180167818014,5.0,0.3,0.17581886198122484,30.06459150636093,,
1.9999973884868136,0.17572468789032525,0.014668599609489475,0.13255989213467906,0.19405102552381684,5.0,0.3,0.1758250899236495,30.065068024506697,,
